City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,ancud,-41.8697,-73.8203,8.12,77,9,2.36,CL,1712807026
146,san antonio de pale,-1.4014,5.6325,28.33,80,100,3.77,GQ,1712807027
147,yuzhno-kurilsk,44.0306,145.8556,4.65,76,61,4.2,RU,1712807027
148,amga,60.8953,131.9608,1.32,100,89,2.82,RU,1712807028
149,ritchie,-29.038,24.6028,7.56,72,0,5.33,ZA,1712807028
150,tezu,27.9167,96.1667,31.31,22,19,2.26,IN,1712807029
151,francisco i. madero,29.7059,-107.8043,10.72,20,0,2.24,MX,1712807030
152,carnarvon,-24.8667,113.6333,24.64,53,24,10.16,AU,1712807030
153,kourou,5.1552,-52.6478,28.03,89,91,3.74,GF,1712807031
154,chuzhou,32.3219,118.2978,18.76,71,100,2.01,CN,1712807031
155,puerto palomas,31.7667,-107.6167,18.19,15,0,4.5,MX,1712807032
156,labytnangi,66.6572,66.4183,-20.52,99,99,2.25,RU,1712807032
157,nemuro,43.3236,145.575,5.14,69,1,7.46,JP,1712807033
158,santanyi,39.3546,3.1291,10.35,72,2,5.65,ES,1712807034
159,sinabang,2.4803,96.3801,29.94,71,99,0.8,ID,1712807034
160,hithadhoo,-0.6,73.0833,29.72,68,91,3.76,MV,1712807035
161,minas de marcona,-15.2119,-75.1103,17.19,85,100,3.94,PE,1712807036
162,puerto armuelles,8.2833,-82.8667,27.83,71,100,1.34,PA,1712807036
163,ulladulla,-35.35,150.4667,21.54,50,0,4.31,AU,1712807037
164,rawah,34.4816,41.9093,18.56,45,5,2.8,IQ,1712807037
165,mukalla,14.5425,49.1242,26.1,73,15,1.75,YE,1712807038
166,mount gambier,-37.8333,140.7667,15.2,57,100,2.71,AU,1712806983
167,madera,37.1666,-119.8343,22.05,73,90,1.62,US,1712806960
168,haiku-pauwela,20.9219,-156.3051,28.01,64,20,5.14,US,1712807040
169,greenland,43.0362,-70.8328,8.19,88,100,1.54,US,1712807040
170,aitape,-3.1374,142.3475,27.75,78,100,1.32,PG,1712807041
171,basco,20.4487,121.9702,26.28,81,13,6.56,PH,1712807042
172,klyuchi,52.2667,79.1667,2.8,93,100,2.95,RU,1712807042
173,petropavlovsk-kamchatsky,53.0452,158.6483,3.33,70,40,16.09,RU,1712806914
174,nelson bay,-32.7167,152.15,22.22,67,88,6.26,AU,1712807043
175,santana,-0.0583,-51.1817,27.1,89,20,2.57,BR,1712806848
176,cannonvale,-20.2833,148.7,23.66,58,2,6.28,AU,1712807044
177,baotou,40.6522,109.8222,22.57,12,2,6.18,CN,1712807045
178,batabano,22.7164,-82.2881,25.4,90,12,5.23,CU,1712807046
179,badger,64.8,-147.5333,9.14,46,20,2.57,US,1712807046
180,bamboo flat,11.7,92.7167,31.54,62,68,4.57,IN,1712807046
181,newport,51.5877,-2.9984,12.76,96,100,5.32,GB,1712806945
182,belogradchik,43.6272,22.6836,9.72,61,3,0.47,BG,1712807048
183,kendari,-3.945,122.4989,29.63,74,83,1.98,ID,1712807047
184,sirur,18.8333,74.3833,31.13,20,100,3.44,IN,1712807049
185,la sarre,48.8002,-79.1996,5.84,91,68,2.6,CA,1712807049
186,praya,14.9215,-23.5087,21.3,68,20,4.63,CV,1712807050
187,vilyuysk,63.7553,121.6247,-5.06,94,100,5.45,RU,1712807051
188,kargil,34.5667,76.1,-6.86,80,100,1.51,IN,1712807051
189,hirna,9.2167,41.1,19.08,66,7,1.2,ET,1712807052
190,ad dilam,23.9915,47.1627,22.23,55,87,3.82,SA,1712807052
191,kivioli,59.3531,26.9711,5.08,72,5,6.43,EE,1712807053
